question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation



"Statement I: Work is a scalar quantity.
Statement II: Work is the dot product of force and displacement.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Work, Energy and Power","easy","Since work is defined as W = F·s, it is a scalar quantity."
"Assertion (A): Work done by a force can be negative.
Reason (R): Negative work occurs when force acts opposite to displacement.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Work, Energy and Power","easy","Examples include friction and braking forces."
"How many of the following statements are correct?

1. Work can be positive.
2. Work can be negative.
3. Work can be zero.
4. Work is a scalar quantity.

Choose the correct option.","1","2","3","4","D","physics","Work, Energy and Power","easy","All four statements are correct."
"Match the following:

List I
A. Force parallel to displacement
B. Force opposite to displacement
C. Force perpendicular to displacement
D. Force making acute angle with displacement

List II
1. Positive work
2. Negative work
3. Zero work
4. Positive work

Choose the correct option.","A-1, B-2, C-3, D-4","A-2, B-1, C-3, D-4","A-1, B-3, C-2, D-4","A-4, B-2, C-1, D-3","A","physics","Work, Energy and Power","medium","The sign of work depends on the angle between force and displacement."
"Which of the following forces does zero work during uniform circular motion?","Friction","Weight","Centripetal force","Applied force","C","physics","Work, Energy and Power","medium","Centripetal force is perpendicular to instantaneous displacement."
"Statement I: Work done by gravity during downward motion is positive.
Statement II: Gravity and displacement are in the same direction during downward motion.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Work, Energy and Power","easy","Angle between force and displacement is 0°."
"Assertion (A): Carrying a suitcase horizontally at constant speed involves zero work done by the person on the suitcase in the vertical direction.
Reason (R): Force applied by the person is perpendicular to displacement.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Work, Energy and Power","medium","Perpendicular force produces zero work."
"A force of 10 N acts on a body producing a displacement of 5 m in the same direction. The work done is:","25 J","50 J","75 J","100 J","B","physics","Work, Energy and Power","easy","W = Fs cos0° = 10 × 5 = 50 J."
"How many of the following situations involve zero work?

1. Satellite revolving around Earth due to gravity.
2. Carrying a bag horizontally at constant height.
3. Pushing a wall that does not move.
4. Centripetal force during circular motion.

Choose the correct option.","1","2","3","4","D","physics","Work, Energy and Power","hard","All four involve zero work."
"Which of the following is the SI unit of work?","Newton","Joule","Watt","Pascal","B","physics","Work, Energy and Power","easy","The SI unit of work is joule (J)."





"Statement I: Kinetic energy depends on the mass and speed of a body.
Statement II: Kinetic energy is proportional to the square of speed.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Work, Energy and Power","easy","KE = ½mv², so it depends on both mass and the square of speed."
