question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation

"Statement I: Distance travelled by a particle is always greater than or equal to the magnitude of displacement.
Statement II: Displacement depends only on initial and final positions.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Motion in a Straight Line","easy","Distance is the actual path length, whereas displacement depends only on the endpoints."
"Assertion (A): A particle can have zero displacement but non-zero distance travelled.
Reason (R): The particle may return to its initial position after motion.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Motion in a Straight Line","easy","Returning to the starting point gives zero displacement but positive distance."
"How many of the following statements are correct?

1. Speed is a scalar quantity.
2. Velocity is a vector quantity.
3. Average speed can never be less than the magnitude of average velocity.
4. Instantaneous speed is always equal to the magnitude of instantaneous velocity.

Choose the correct option.","1","2","3","4","D","physics","Motion in a Straight Line","medium","All four statements are correct."
"Match the following:

List I
A. Distance
B. Displacement
C. Speed
D. Velocity

List II
1. Scalar quantity
2. Vector quantity
3. Scalar quantity
4. Vector quantity

Choose the correct option.","A-1, B-2, C-3, D-4","A-2, B-1, C-3, D-4","A-1, B-3, C-2, D-4","A-4, B-2, C-1, D-3","A","physics","Motion in a Straight Line","easy","Distance and speed are scalars, whereas displacement and velocity are vectors."
"A person walks 3 km east and then 4 km west. The magnitude of displacement is:","1 km","3 km","4 km","7 km","A","physics","Motion in a Straight Line","medium","Net displacement = 3 km east − 4 km west = 1 km west. Magnitude = 1 km."
"Statement I: Average velocity is defined as total displacement divided by total time.
Statement II: Average speed is defined as total distance travelled divided by total time.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","physics","Motion in a Straight Line","easy","These are independent definitions."
"Assertion (A): The magnitude of average velocity may be zero even when average speed is non-zero.
Reason (R): Total displacement may become zero while distance travelled remains positive.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Motion in a Straight Line","medium","This occurs when the object returns to its starting point."
"A car covers 60 km in 1 hour and 40 km in the next hour. Its average speed is:","40 km h⁻¹","50 km h⁻¹","60 km h⁻¹","100 km h⁻¹","B","physics","Motion in a Straight Line","medium","Average speed = Total distance / Total time = (60+40)/2 = 50 km h⁻¹."
"How many of the following statements are correct?

1. Instantaneous velocity is the velocity at a particular instant.
2. Instantaneous speed equals magnitude of instantaneous velocity.
3. Average velocity depends on displacement.
4. Average speed depends on distance travelled.

Choose the correct option.","1","2","3","4","D","physics","Motion in a Straight Line","easy","All four statements are correct."
"Which of the following quantities can never be negative in one-dimensional motion?","Velocity","Displacement","Acceleration","Distance","D","physics","Motion in a Straight Line","medium","Distance is always non-negative because it is path length."

"Statement I: Uniform acceleration means equal changes in velocity during equal intervals of time.
Statement II: Uniform velocity is a special case of uniform acceleration.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Motion in a Straight Line","medium","Uniform velocity corresponds to zero acceleration, which is a constant acceleration."
"Assertion (A): A body moving with constant velocity has zero acceleration.
Reason (R): Acceleration is the rate of change of velocity.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Motion in a Straight Line","easy","If velocity does not change, acceleration is zero."
"How many of the following equations are valid only for constant acceleration?

1. v = u + at
2. s = ut + ½at²
3. v² = u² + 2as
4. s = vt

Choose the correct option.","1","2","3","4","C","physics","Motion in a Straight Line","hard","The first three require constant acceleration. The fourth is valid only for constant velocity."
"Match the following:

List I
A. v = u + at
B. s = ut + ½at²
C. v² = u² + 2as
D. s = (u+v)t/2

List II
1. No time variable
2. No acceleration variable
3. First equation of motion
4. Average velocity form

Choose the correct option.","A-3, B-2, C-1, D-4","A-2, B-3, C-1, D-4","A-3, B-1, C-2, D-4","A-4, B-2, C-3, D-1","A","physics","Motion in a Straight Line","medium","Each equation is useful when one variable is absent."
"A body starts from rest and accelerates uniformly at 2 m s⁻² for 5 s. Its final velocity is:","5 m s⁻¹","10 m s⁻¹","15 m s⁻¹","20 m s⁻¹","B","physics","Motion in a Straight Line","easy","Using v = u + at = 0 + (2)(5) = 10 m s⁻¹."
"Statement I: The slope of a displacement-time graph gives velocity.
Statement II: The slope of a velocity-time graph gives acceleration.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","physics","Motion in a Straight Line","medium","These are independent graphical interpretations."
"Assertion (A): The area under a velocity-time graph represents displacement.
Reason (R): Velocity multiplied by time gives displacement for infinitesimal intervals.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Motion in a Straight Line","hard","Displacement is obtained by integrating velocity with respect to time."
"A particle moves with initial velocity 5 m s⁻¹ and acceleration 3 m s⁻² for 4 s. The final velocity is:","14 m s⁻¹","15 m s⁻¹","16 m s⁻¹","17 m s⁻¹","D","physics","Motion in a Straight Line","medium","v = u + at = 5 + (3)(4) = 17 m s⁻¹."
"A particle starts from rest and moves with acceleration 4 m s⁻² for 3 s. The displacement covered is:","12 m","18 m","24 m","36 m","B","physics","Motion in a Straight Line","medium","s = ut + ½at² = 0 + ½×4×9 = 18 m."
"Which of the following quantities is represented by the slope of a velocity-time graph?","Velocity","Displacement","Acceleration","Jerk","C","physics","Motion in a Straight Line","easy","Slope = Δv/Δt = acceleration."

"Statement I: Retardation is negative acceleration.
Statement II: Retardation always acts opposite to the direction of velocity.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Motion in a Straight Line","medium","Retardation reduces the magnitude of velocity and therefore acts opposite to the direction of motion."
