question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation

"Statement I: A body continues in its state of rest or uniform motion unless acted upon by an external unbalanced force.
Statement II: This statement represents Newton's First Law of Motion.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Laws of Motion","easy","Newton's First Law is also known as the law of inertia."
"Assertion (A): Inertia is the tendency of a body to resist change in its state of motion.
Reason (R): Mass is a measure of inertia.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Laws of Motion","easy","Greater mass means greater resistance to changes in motion."
"How many of the following statements are correct?

1. A heavier body has greater inertia.
2. Inertia depends on mass.
3. A body at rest possesses inertia.
4. A body in motion possesses inertia.

Choose the correct option.","1","2","3","4","D","physics","Laws of Motion","easy","All four statements are correct."
"Match the following:

List I
A. Inertia of rest
B. Inertia of motion
C. Inertia of direction
D. Mass

List II
1. Measure of inertia
2. Tendency to continue in motion
3. Tendency to continue in a straight line
4. Tendency to remain at rest

Choose the correct option.","A-4, B-2, C-3, D-1","A-2, B-4, C-3, D-1","A-4, B-3, C-2, D-1","A-1, B-2, C-4, D-3","A","physics","Laws of Motion","medium","The three types of inertia are standard NEET theory questions."
"Which of the following is the SI unit of force?","Newton","Joule","Pascal","Dyne","A","physics","Laws of Motion","easy","Force is measured in newtons in the SI system."
"Statement I: Newton's Second Law gives the quantitative definition of force.
Statement II: Force equals rate of change of momentum.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Laws of Motion","medium","Newton's Second Law defines force quantitatively."

"Assertion (A): For constant mass, F = ma.
Reason (R): Momentum p = mv.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Laws of Motion","medium","F = dp/dt = d(mv)/dt = ma for constant mass."

"A force of 20 N acts on a body of mass 5 kg. The acceleration produced is:","2 m/s²","4 m/s²","5 m/s²","10 m/s²","B","physics","Laws of Motion","easy","Using F = ma, acceleration = 20/5 = 4 m/s²."
"How many of the following statements are correct?

1. Action and reaction forces act on different bodies.
2. Action and reaction forces are equal in magnitude.
3. Action and reaction forces act simultaneously.
4. Action and reaction forces can cancel each other.

Choose the correct option.","1","2","3","4","C","physics","Laws of Motion","hard","Statements 1, 2 and 3 are correct. Since they act on different bodies, they cannot cancel each other."

