question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation



"Statement I: The SI system contains seven fundamental units.
Statement II: All physical quantities can ultimately be expressed in terms of these fundamental units.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Units and Measurements","easy","Derived quantities are combinations of the seven SI base quantities."
"Assertion (A): Velocity is a derived physical quantity.
Reason (R): Velocity can be expressed in terms of length and time.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Units and Measurements","easy","Velocity has dimensions [M⁰L¹T⁻¹] and is derived from fundamental quantities."
"How many of the following are SI base quantities?

1. Length
2. Mass
3. Temperature
4. Force

Choose the correct option.","1","2","3","4","C","physics","Units and Measurements","medium","Length, mass and temperature are base quantities while force is derived."
"Match the following:

List I
A. Length
B. Electric current
C. Amount of substance
D. Luminous intensity

List II
1. Mole
2. Candela
3. Ampere
4. Metre

Choose the correct option.","A-4, B-3, C-1, D-2","A-3, B-4, C-1, D-2","A-4, B-1, C-3, D-2","A-2, B-3, C-1, D-4","A","physics","Units and Measurements","easy","These are SI base units."
"Which of the following is dimensionless?","Momentum","Strain","Impulse","Torque","B","physics","Units and Measurements","medium","Strain is a ratio of two lengths and therefore has no dimensions."
"Statement I: Plane angle and solid angle are dimensionless quantities in SI.
Statement II: Their units are radian and steradian respectively.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","physics","Units and Measurements","medium","They possess units for convenience despite being dimensionless."
"Assertion (A): Dimensional analysis can be used to check the correctness of an equation.
Reason (R): Both sides of a physical equation must have the same dimensions.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Units and Measurements","easy","Dimensional homogeneity is a necessary condition for physical equations."
"How many of the following statements are correct?

1. Dimensional analysis can determine numerical constants.
2. Dimensional analysis can derive relations between quantities.
3. Dimensional analysis cannot distinguish between scalar and vector quantities.
4. Dimensional analysis cannot verify trigonometric functions in equations.

Choose the correct option.","1","2","3","4","C","physics","Units and Measurements","hard","Statements 2, 3 and 4 are correct. Numerical constants cannot be obtained using dimensional analysis."
"Which of the following has dimensions [ML²T⁻²]?","Power","Pressure","Energy","Force","C","physics","Units and Measurements","medium","Energy and work have dimensions [ML²T⁻²]."
"Which of the following quantities share the same dimensions?","Pressure and stress","Force and momentum","Energy and power","Torque and force","A","physics","Units and Measurements","hard","Both pressure and stress have dimensions [ML⁻¹T⁻²]."




"Statement I: The principle of dimensional homogeneity states that dimensions on both sides of a physical equation must be identical.
Statement II: Addition and subtraction are possible only between quantities having the same dimensions.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Units and Measurements","easy","Dimensional homogeneity is required for every physically meaningful equation."
