question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation



"Statement I: Cathode rays consist of negatively charged particles.
Statement II: The e/m ratio of cathode rays is independent of the nature of gas present in the discharge tube.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Structure of Atom","easy","Thomson showed that cathode rays consist of electrons and their e/m ratio remains constant irrespective of gas used."
"Assertion (A): The charge on an electron is 1.602 × 10^-19 C.
Reason (R): Millikan determined the charge of an electron using the oil drop experiment.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Structure of Atom","easy","Millikan's oil drop experiment measured the elementary charge on the electron."
"How many of the following statements are correct?

1. Thomson proposed the plum pudding model.
2. Rutherford used α-particles in his scattering experiment.
3. Most of the α-particles passed through the gold foil undeflected.
4. Rutherford concluded that positive charge is uniformly distributed throughout the atom.

Choose the correct option.","1","2","3","4","C","chemistry","Structure of Atom","medium","Statements 1, 2 and 3 are correct. Uniform positive charge distribution was Thomson's model, not Rutherford's."
"Match the following:

List I
A. J.J. Thomson
B. E. Goldstein
C. Rutherford
D. Chadwick

List II
1. Discovery of neutron
2. Canal rays
3. Nuclear model of atom
4. Electron discovery

Choose the correct option.","A-4, B-2, C-3, D-1","A-2, B-4, C-3, D-1","A-4, B-3, C-2, D-1","A-1, B-2, C-3, D-4","A","chemistry","Structure of Atom","medium","These are landmark discoveries in atomic structure."
"Which observation from Rutherford's experiment suggested the presence of a small dense nucleus?","Most α-particles passed straight through","Some α-particles were slightly deflected","Very few α-particles were deflected through large angles","The foil emitted radiation","C","chemistry","Structure of Atom","medium","Large-angle deflections implied that most of the atom's mass and positive charge are concentrated in a tiny nucleus."
"Statement I: The atomic number of an element equals the number of protons in its nucleus.
Statement II: Neutral atoms contain equal numbers of protons and electrons.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","chemistry","Structure of Atom","easy","The definition of atomic number is independent of electrical neutrality."
"Assertion (A): Isotopes have identical chemical properties.
Reason (R): Isotopes possess the same atomic number and electronic configuration.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Structure of Atom","medium","Chemical properties depend mainly on electronic configuration, which is identical for isotopes."
"How many neutrons are present in the isotope ²³Na?","10","11","12","23","C","chemistry","Structure of Atom","easy","Number of neutrons = Mass number − Atomic number = 23 − 11 = 12."
"How many of the following statements are correct?

1. Isobars have the same mass number.
2. Isotopes have the same atomic number.
3. Isotones have the same number of neutrons.
4. Isobars have identical chemical properties.

Choose the correct option.","1","2","3","4","C","chemistry","Structure of Atom","hard","Statements 1, 2 and 3 are correct. Isobars have different atomic numbers and hence different chemical properties."
