question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation



"Statement I: Matter is anything that has mass and occupies space.
Statement II: Matter can exist only in solid, liquid and gaseous states.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","C","chemistry","Some Basic Concepts of Chemistry","easy","Matter is defined as anything having mass and occupying space. Plasma and Bose-Einstein condensate are additional states of matter."
"Assertion (A): One atomic mass unit is defined as one-twelfth of the mass of a carbon-12 atom.
Reason (R): Carbon-12 contains exactly 12 protons.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","B","chemistry","Some Basic Concepts of Chemistry","medium","The definition of amu is based on carbon-12, but carbon-12 contains 6 protons and 6 neutrons."
"How many of the following statements are correct?

1. One mole contains Avogadro number of entities.
2. One mole of oxygen atoms contains 6.022 × 10^23 atoms.
3. One mole of O₂ molecules contains 12.044 × 10^23 atoms.
4. One mole of electrons carries a charge of 96485 C.

Choose the correct option.","1","2","3","4","D","chemistry","Some Basic Concepts of Chemistry","hard","All four statements are correct. One mole of O₂ molecules contains two moles of oxygen atoms."
"Match the following:

List I
A. 1 u
B. 1 mol
C. Avogadro constant
D. Faraday constant

List II
1. 6.022 × 10^23 mol⁻¹
2. 96485 C mol⁻¹
3. 1/12th mass of carbon-12 atom
4. Amount of substance containing Avogadro number of entities

Choose the correct option.","A-3, B-4, C-1, D-2","A-4, B-3, C-1, D-2","A-3, B-1, C-4, D-2","A-2, B-4, C-1, D-3","A","chemistry","Some Basic Concepts of Chemistry","medium","These are standard definitions used throughout physical chemistry."
"What is the number of molecules present in 22 g of CO₂? (Atomic masses: C = 12, O = 16)","3.011 × 10^23","6.022 × 10^23","1.204 × 10^24","9.033 × 10^23","A","chemistry","Some Basic Concepts of Chemistry","medium","Molar mass of CO₂ = 44 g mol⁻¹. Therefore 22 g = 0.5 mol, containing 0.5 × 6.022 × 10^23 molecules."
"Statement I: The empirical formula represents the simplest whole number ratio of atoms in a compound.
Statement II: The molecular formula may be the same as the empirical formula.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","chemistry","Some Basic Concepts of Chemistry","medium","For compounds like H₂O and CO₂, empirical and molecular formulae are identical."
"Assertion (A): The empirical formula of glucose is CH₂O.
Reason (R): The molecular formula of glucose is C₆H₁₂O₆.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Some Basic Concepts of Chemistry","easy","Dividing subscripts in C₆H₁₂O₆ by 6 gives CH₂O."
"A sample contains 3.01 × 10^23 molecules of NH₃. The number of moles of NH₃ present is:","0.25 mol","0.50 mol","1.00 mol","2.00 mol","B","chemistry","Some Basic Concepts of Chemistry","easy","Number of moles = number of molecules / Avogadro number = 3.01×10^23 / 6.022×10^23 = 0.5 mol."
