question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation


"Statement I: Intermolecular forces are weaker than intramolecular forces.
Statement II: Intermolecular forces are responsible for the physical state of substances.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","chemistry","States of Matter","easy","Intermolecular forces determine melting point, boiling point and physical state, but do not explain why they are weaker than intramolecular forces."
"Assertion (A): Gases are highly compressible.
Reason (R): Gas particles are separated by large intermolecular spaces.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","States of Matter","easy","Large intermolecular spaces allow gas particles to be compressed easily."
"How many of the following statements are correct?

1. Solids possess definite shape and definite volume.
2. Liquids possess definite volume but no definite shape.
3. Gases possess neither definite shape nor definite volume.
4. Gases are highly compressible.

Choose the correct option.","1","2","3","4","D","chemistry","States of Matter","easy","All four statements correctly describe the three states of matter."
"Match the following:

List I
A. London forces
B. Dipole-dipole interactions
C. Hydrogen bonding
D. Ion-dipole interactions

List II
1. Strongest among intermolecular forces listed
2. Present between polar molecules
3. Present in all molecules
4. Important in dissolution of ionic compounds in water

Choose the correct option.","A-3, B-2, C-1, D-4","A-2, B-3, C-1, D-4","A-3, B-1, C-2, D-4","A-4, B-2, C-3, D-1","A","chemistry","States of Matter","medium","London forces exist in all molecules, hydrogen bonding is particularly strong and ion-dipole interactions are important in solutions."
"According to Boyle's law, if pressure is doubled at constant temperature, the volume becomes:","Double","Half","Four times","Unchanged","B","chemistry","States of Matter","easy","Boyle's law states that P is inversely proportional to V at constant temperature."
"Statement I: Charles' law states that volume is directly proportional to absolute temperature at constant pressure.
Statement II: Temperature in Charles' law must be expressed in Kelvin.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","States of Matter","medium","The direct proportionality exists only when temperature is measured on the absolute scale."
"Assertion (A): At absolute zero, an ideal gas would have zero volume according to Charles' law.
Reason (R): Absolute zero corresponds to 0 K.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","B","chemistry","States of Matter","medium","The reason identifies absolute zero but does not explain the extrapolation of Charles' law."
"How many of the following statements are correct?

1. Avogadro's law states that equal volumes of gases at same temperature and pressure contain equal numbers of molecules.
2. One mole of any ideal gas occupies 22.4 L at STP.
3. The molar volume of an ideal gas at STP is 22.4 L mol⁻¹.
4. Volume is directly proportional to number of moles at constant temperature and pressure.

Choose the correct option.","1","2","3","4","D","chemistry","States of Matter","hard","All four statements are correct according to classical STP conditions used in NEET."
"A gas occupies 4 L at 1 atm pressure. If pressure becomes 2 atm at constant temperature, the final volume is:","1 L","2 L","4 L","8 L","B","chemistry","States of Matter","medium","Using Boyle's law: P₁V₁=P₂V₂ → 1×4=2×V₂, therefore V₂=2 L."
