question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation


"Statement I: Lewis symbols represent valence electrons of an atom.
Statement II: The number of dots in a Lewis symbol equals the number of valence electrons.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Chemical Bonding and Molecular Structure","easy","Lewis symbols represent valence electrons using dots around the elemental symbol."
"Assertion (A): Noble gases generally do not form chemical bonds.
Reason (R): They possess completely filled valence shells.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Chemical Bonding and Molecular Structure","easy","Filled valence shells provide exceptional stability."
"How many of the following species violate the octet rule?

1. BF₃
2. PCl₅
3. SF₆
4. BeCl₂

Choose the correct option.","1","2","3","4","D","chemistry","Chemical Bonding and Molecular Structure","medium","BF₃ and BeCl₂ have incomplete octets, whereas PCl₅ and SF₆ have expanded octets."
"Match the following:

List I
A. BF₃
B. BeCl₂
C. PCl₅
D. SF₆

List II
1. Expanded octet
2. Expanded octet
3. Incomplete octet
4. Incomplete octet

Choose the correct option.","A-3, B-4, C-1, D-2","A-4, B-3, C-1, D-2","A-3, B-1, C-4, D-2","A-2, B-4, C-1, D-3","A","chemistry","Chemical Bonding and Molecular Structure","medium","These molecules are standard examples of octet rule exceptions."
"Which of the following molecules obeys the octet rule completely?","BF₃","PCl₅","CH₄","SF₆","C","chemistry","Chemical Bonding and Molecular Structure","easy","Carbon in methane attains an octet through four covalent bonds."
"Statement I: Formal charge is a bookkeeping tool used in drawing Lewis structures.
Statement II: The preferred Lewis structure usually has minimum formal charges.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","chemistry","Chemical Bonding and Molecular Structure","medium","Minimum formal charges improve stability but do not explain the definition of formal charge."
"Assertion (A): Resonance structures do not represent real molecules individually.
Reason (R): The actual molecule is a resonance hybrid of all contributing structures.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Chemical Bonding and Molecular Structure","medium","Resonance hybrids are more stable than any individual contributing structure."
"How many of the following species possess resonance?

1. O₃
2. CO₃²⁻
3. NO₃⁻
4. SO₂

Choose the correct option.","1","2","3","4","D","chemistry","Chemical Bonding and Molecular Structure","hard","All four species exhibit resonance."
"Which of the following has the smallest formal charge separation in the most stable structure?","CO₃²⁻","NO₃⁻","O₃","CH₄","D","chemistry","Chemical Bonding and Molecular Structure","hard","Methane has no formal charge separation in its Lewis structure."
"Which of the following is an electron-deficient molecule?","NH₃","CH₄","BF₃","H₂O","C","chemistry","Chemical Bonding and Molecular Structure","easy","Boron possesses only six electrons around it in BF₃."





