question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation


"Statement I: Algae are chlorophyll-bearing simple thalloid autotrophic organisms.
Statement II: They occur mainly in aquatic habitats.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Plant Kingdom","easy","Most algae are aquatic chlorophyll-bearing thalloid organisms, but habitat does not explain their morphology."
"Assertion (A): Chlorophyceae are commonly called green algae.
Reason (R): Chlorophyll a and chlorophyll b are the dominant pigments in them.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Plant Kingdom","easy","The dominance of chlorophyll a and b gives Chlorophyceae their characteristic green colour."
"How many of the following statements regarding Chlorophyceae are correct?

1. Reserve food is stored as starch.
2. Cell wall usually contains cellulose.
3. Most members possess one or more flagella.
4. Chlorophyll d is the major photosynthetic pigment.

Choose the correct option.","1","2","3","4","C","biology","Plant Kingdom","hard","Statements 1, 2 and 3 are correct. Chlorophyll d is characteristic of red algae."
"Match the following:

List I
A. Chlamydomonas
B. Volvox
C. Ulothrix
D. Spirogyra

List II
1. Colonial
2. Filamentous
3. Unicellular motile
4. Filamentous non-motile

Choose the correct option.","A-3, B-1, C-2, D-4","A-1, B-3, C-2, D-4","A-3, B-2, C-1, D-4","A-4, B-1, C-2, D-3","A","biology","Plant Kingdom","medium","These are standard NCERT examples representing different body organizations in green algae."
"Which pigment is primarily responsible for the brown colour of Phaeophyceae?","Phycoerythrin","Fucoxanthin","Phycocyanin","Xanthophyll","B","biology","Plant Kingdom","easy","Fucoxanthin masks chlorophyll pigments and imparts the brown colour."
"Statement I: Brown algae store food mainly as laminarin and mannitol.
Statement II: Brown algae possess cellulose and algin in their cell wall.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Plant Kingdom","medium","Both are characteristic features of brown algae but one does not explain the other."
"Assertion (A): Red algae generally occur in deeper waters.
Reason (R): Phycoerythrin efficiently absorbs blue and green wavelengths of light.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Plant Kingdom","hard","Phycoerythrin allows red algae to photosynthesize efficiently at greater depths."
"Identify the incorrect statement regarding Rhodophyceae.","Reserve food is floridean starch.","Phycoerythrin is present.","Flagellated stages are absent.","Fucoxanthin is the dominant pigment.","D","biology","Plant Kingdom","medium","Fucoxanthin is characteristic of brown algae, not red algae."
"How many of the following statements are correct?

1. Gelidium is used for agar production.
2. Gracilaria is used for agar production.
3. Polysiphonia belongs to Rhodophyceae.
4. Ectocarpus belongs to Rhodophyceae.

Choose the correct option.","1","2","3","4","C","biology","Plant Kingdom","hard","Statements 1, 2 and 3 are correct. Ectocarpus belongs to Phaeophyceae."
"Which of the following is correctly matched?","Volvox - Brown algae","Polysiphonia - Red algae","Ectocarpus - Green algae","Chara - Red algae","B","biology","Plant Kingdom","easy","Polysiphonia is a classic example of red algae."





