question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation


"Which of the following is an example of storage adventitious root?","Potato","Ginger","Sweet potato","Onion","C","biology","Morphology of Flowering Plants","easy","Sweet potato is a modification of adventitious root for storage."
"Which of the following underground stem modifications is correctly matched?","Potato - Rhizome","Ginger - Tuber","Onion - Bulb","Colocasia - Rhizome","C","biology","Morphology of Flowering Plants","easy","Onion is a bulb, potato is a tuber, ginger is a rhizome and Colocasia is a corm."
"Statement I: Nodes and internodes are characteristic features of stems.
Statement II: Potato is considered a stem because it possesses nodes and internodes.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Morphology of Flowering Plants","medium","The presence of nodes and internodes confirms the stem nature of potato."
"Which of the following root modifications provides mechanical support to the plant?","Pneumatophores","Storage roots","Prop roots","Nodulated roots","C","biology","Morphology of Flowering Plants","easy","Prop roots arise from branches and provide support to large trees such as banyan."
"Match the following:

List I
A. Banyan
B. Maize
C. Rhizophora
D. Sweet potato

List II

1. Storage root
2. Prop root
3. Stilt root
4. Pneumatophore

Choose the correct option.","A-2, B-3, C-4, D-1","A-3, B-2, C-4, D-1","A-2, B-4, C-3, D-1","A-1, B-3, C-4, D-2","A","biology","Morphology of Flowering Plants","medium","Banyan has prop roots, maize has stilt roots, Rhizophora has pneumatophores and sweet potato has storage roots."
"Assertion (A): Rhizomes are considered stem modifications.
Reason (R): Rhizomes possess nodes, internodes and scale leaves.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Morphology of Flowering Plants","medium","The presence of nodes, internodes and scale leaves confirms their stem nature."
"Which one of the following stem modifications helps in climbing?","Offset","Rhizome","Stem tendril","Tuber","C","biology","Morphology of Flowering Plants","easy","Stem tendrils help weak-stemmed plants climb with support."
"How many of the following statements are correct?

1. Fibrous roots generally arise from the base of the stem.
2. Monocot plants usually possess fibrous roots.
3. Tap roots develop directly from the radicle.
4. Prop roots are positively geotropic.

Choose the correct option.","1","2","3","4","D","biology","Morphology of Flowering Plants","hard","All four statements are correct."
"Which of the following is an example of phylloclade?","Cucurbita","Opuntia","Mint","Potato","B","biology","Morphology of Flowering Plants","medium","Opuntia possesses phylloclades which perform photosynthesis and store water."
"Statement I: Pulvinus is a swollen leaf base.
Statement II: Pulvinus is commonly found in members of Fabaceae.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Morphology of Flowering Plants","easy","Fabaceae members characteristically possess a swollen leaf base called pulvinus."



"Which of the following is an example of opposite phyllotaxy?","China rose","Mustard","Calotropis","Sunflower","C","biology","Morphology of Flowering Plants","easy","Calotropis and guava exhibit opposite phyllotaxy."
"Which one of the following plants exhibits whorled phyllotaxy?","Mustard","China rose","Alstonia","Guava","C","biology","Morphology of Flowering Plants","easy","Alstonia exhibits whorled phyllotaxy where more than two leaves arise from a node."
