question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation


"Which among the following can be considered as a defining property of living organisms?","Growth","Reproduction","Consciousness","Movement","C","biology","The Living World","easy","NCERT considers consciousness, the ability to sense and respond to stimuli, as the defining property of living organisms."
"Statement I: All living organisms grow by cell division.
Statement II: Non-living objects can also grow by accumulation of material on their surface.
Choose the correct option.","Both statements are true","Both statements are false","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","The Living World","medium","Living organisms grow internally by cell division while non-living objects may increase in size by external deposition."
"Assertion (A): Reproduction cannot be considered an all-inclusive defining characteristic of living organisms.
Reason (R): Some organisms such as mules and worker bees do not reproduce.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","The Living World","medium","Some living organisms are sterile and therefore reproduction alone cannot define life."
"How many of the following statements are correct?

1. Metabolism is a defining feature of all living organisms.
2. Cellular organization is present in all living organisms.
3. Growth is a defining property exclusive to living organisms.
4. Viruses exhibit metabolism outside host cells.

Choose the correct option.","1","2","3","4","B","biology","The Living World","hard","Statements 1 and 2 are correct. Growth is not exclusive to living organisms and viruses do not exhibit metabolism outside host cells."
"Statement I: Biological names are generally written in italics.
Statement II: The first word in a biological name denotes the genus.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","The Living World","easy","Scientific names are italicized and the first word represents the genus name."
"In the scientific name Mangifera indica, which statement is correct?","Mangifera represents species","indica represents genus","Mangifera represents genus","indica represents family","C","biology","The Living World","easy","The first word of a scientific name is the genus and starts with a capital letter."
"Match the following:

List I
A. Species
B. Genus
C. Family
D. Order

List II

1. Taxonomic category containing related genera
2. Basic unit of classification
3. Taxonomic category containing related families
4. Taxonomic category containing related species

Choose the correct option.","A-2, B-4, C-1, D-3","A-4, B-2, C-1, D-3","A-2, B-1, C-4, D-3","A-2, B-4, C-3, D-1","A","biology","The Living World","medium","Species is the basic unit, genus contains related species, family contains related genera and order contains related families."
"Assertion (A): Taxonomic categories form a hierarchy.
Reason (R): Species is the highest taxonomic category.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","C","biology","The Living World","medium","Taxonomic categories are hierarchical but species is the lowest taxonomic category."
"How many of the following statements are correct?

1. Homo sapiens is written in italics.
2. Generic name begins with a capital letter.
3. Specific epithet begins with a capital letter.
4. Scientific names are universally accepted.

Choose the correct option.","1","2","3","4","C","biology","The Living World","hard","Statements 1, 2 and 4 are correct. The specific epithet begins with a small letter."
"According to NCERT, living organisms are best described as:","Self-replicating and evolving systems only","Self-regulating systems only","Interactive systems capable of self-replication, evolution and self-regulation","Systems capable only of metabolism and growth","C","biology","The Living World","hard","NCERT defines living organisms as self-replicating, evolving and self-regulating interactive systems."




"Which among the following can be considered as a defining property of living organisms?","Growth","Reproduction","Consciousness","Movement","C","biology","The Living World","easy","NCERT considers consciousness, the ability to sense and respond to stimuli, as the defining property of living organisms."
