question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation



"Statement I: R.H. Whittaker proposed the five kingdom classification system in 1969.
Statement II: The five kingdoms are Monera, Protista, Fungi, Plantae and Animalia.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Biological Classification","easy","Whittaker proposed the five kingdom system in 1969 consisting of Monera, Protista, Fungi, Plantae and Animalia."
"Assertion (A): Members of kingdom Monera are prokaryotic organisms.
Reason (R): They lack a membrane-bound nucleus and membrane-bound organelles.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Biological Classification","easy","Monerans are prokaryotes and therefore lack membrane-bound organelles and a true nucleus."
"How many of the following statements regarding Whittaker's classification are correct?

1. Cell structure was used as a criterion.
2. Body organization was used as a criterion.
3. Mode of nutrition was used as a criterion.
4. Phylogenetic relationships were considered.

Choose the correct option.","1","2","3","4","D","biology","Biological Classification","hard","Whittaker considered cell structure, body organization, nutrition, reproduction and phylogenetic relationships."
"Match the following:

List I
A. Monera
B. Protista
C. Fungi
D. Plantae

List II
1. Chitinous cell wall
2. Cellulose cell wall
3. Prokaryotic organisms
4. Unicellular eukaryotes

Choose the correct option.","A-3, B-4, C-1, D-2","A-4, B-3, C-1, D-2","A-3, B-1, C-4, D-2","A-2, B-4, C-1, D-3","A","biology","Biological Classification","medium","Monera are prokaryotic, Protista are unicellular eukaryotes, fungi possess chitin walls and plants possess cellulose walls."
"Which kingdom includes unicellular eukaryotic organisms?","Monera","Protista","Fungi","Plantae","B","biology","Biological Classification","easy","Kingdom Protista consists mainly of unicellular eukaryotic organisms."
"Statement I: Bacteria belong to kingdom Monera.
Statement II: Cyanobacteria are also included in Monera.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Biological Classification","easy","Both bacteria and cyanobacteria are prokaryotes and belong to Monera."
"Identify the incorrect statement regarding Monera.","They possess 70S ribosomes.","They possess membrane-bound organelles.","Their genetic material is not enclosed by a nuclear membrane.","They reproduce mainly by binary fission.","B","biology","Biological Classification","medium","Monerans lack membrane-bound organelles."
"Assertion (A): Mycoplasma are called jokers of the plant kingdom.
Reason (R): They can survive without oxygen and possess pleomorphic forms.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","B","biology","Biological Classification","hard","Mycoplasma are called jokers because of their variable shapes and characteristics."
"How many of the following statements are correct regarding Mycoplasma?

1. They are the smallest living cells known.
2. They possess a cell wall.
3. They are pleomorphic.
4. They can survive without oxygen.

Choose the correct option.","1","2","3","4","C","biology","Biological Classification","hard","Statements 1, 3 and 4 are correct. Mycoplasma lack a cell wall."
"Which of the following is the major distinguishing feature of archaebacteria compared with eubacteria?","Presence of DNA","Presence of ribosomes","Cell wall composition","Binary fission","C","biology","Biological Classification","medium","Archaebacteria differ mainly in cell wall composition and membrane lipids."




